,text,link,comments,likes,reposts,date,time,day_week
0,Очаровательная работа Джастина Вуда.,https://sun1-27.userapi.com/impg/tQYPsns2QS0kjnNLlp383A-Y04rRZd0VUtstjw/DwZCQvE3qJY.jpg?size=640x800&quality=96&sign=e529081e01f50d45ba69ff4a2210a1d9&c_uniq_tag=TbjcRgAVLdC-Axd8uXNEYpIgzQ3gwREWqoss6VTphMI&type=album,26,4533,1088,2021-11-07,2021-11-07 22:07:00,Sunday
1,,,1,5,1,2021-12-01,2021-12-01 17:53:30,Wednesday
2,Дуальность cтpит-aрта в России.,https://sun1-93.userapi.com/impg/cfzPJLrIGxLh4ih2cg-AqY58vnVdQOpYruxrJw/K51n5cxET6E.jpg?size=1768x1315&quality=96&sign=2eac462d9fbfe23388da66312676e3ea&c_uniq_tag=gfORA4UiS6ikowkuBQTWhKThVS90sxL3Af5I5kYZPLQ&type=album,8,133,22,2021-12-01,2021-12-01 17:30:00,Wednesday
3,Очаровательные винтажные открытки с котятами.,https://sun1-20.userapi.com/impg/pID4Np-e82HQFUgHwK_NiLCw0ikBN73Wig6pEQ/Pobg_XkPvzE.jpg?size=564x872&quality=96&sign=90fdcb397ed98546557189e5c0331b5f&c_uniq_tag=IJMcevRN-IvWmUbLXiaL5gqXZobS4KEF_tsaQCrF1js&type=album,6,184,112,2021-12-01,2021-12-01 16:47:00,Wednesday
4,Большое поле подсолнечника в Польше привлекло множество видов птиц; в основном зеленушек; щеглов и юрков. Вблизи это выглядит фантастично. Фотограф / Mateusz Piesiak,https://sun1-97.userapi.com/impg/EUOGDwixTH6yJqkBoczzaSwQrQrCCPk7htSyUg/LKLTVg8ZUdw.jpg?size=880x587&quality=96&sign=6d359984757c1cf51644ad5e69e84f53&c_uniq_tag=-L-n5rbu-n7VW_WK0K7J8SxWxOViMcj5tqiVGVTvaHA&type=album,4,210,32,2021-12-01,2021-12-01 16:30:00,Wednesday
5,«Глина» Художник / Коробков Денис,https://sun1-17.userapi.com/impg/HwP90JZ8UORQjHb-0nwv0p9i7NxSrFUcayfUdQ/CulX2QDdKmk.jpg?size=1942x1931&quality=95&sign=1cd2b94d003ad7ec0431daa99e962077&c_uniq_tag=_Hnh6UPSRLJlGTtPznHGqIEv3dA-hSzlCavKQ_j_v80&type=album,1,78,4,2021-12-01,2021-12-01 16:25:00,Wednesday
6,Наблюдатель. Снимок одного из победителей Sienna International Photo Awards.,https://sun1-90.userapi.com/impg/tbrjhWiOLxyHc3bx_1BbsdWqMXuuJ5m7YM0RCA/ym7JeCNpvC4.jpg?size=880x543&quality=96&sign=6d47d02fe9d762c458fcf2eb838bf767&c_uniq_tag=ADJpfeeY_xzQJwGUU20Z36QT_JUYGNS7zCQlS8xWlfM&type=album,1,333,76,2021-12-01,2021-12-01 14:23:00,Wednesday
7,Тот случай; когда по протоптанной тобой тропе пойдут люди; думая; что это оптимальный маршрут.,https://sun1-87.userapi.com/impg/tp61JeE01KqAsUVWMw9MZFmomO4DA0K6G0YJWA/g62mrmC7XYA.jpg?size=564x704&quality=96&sign=33e4eb0471f41de8dbc916af39a69705&c_uniq_tag=nEQ2FOj49X8oirMjDObrGvm6LUVMkMcM6eg9FAamtW4&type=album,13,389,49,2021-12-01,2021-12-01 12:25:00,Wednesday
8,‼БЕСПЛАТНЫЙ ДОСТУП К КУРСУ ПО 3-D МОДЕЛИРОВАНИЮ ОТ УНИВЕРСИТЕТА КАЙНО! 🔥 Что вас ждет: ● бесплатный курс 7 дней ● 11 уроков по 15-20 минут в записи - сможете выполнять задания в удобное время для вас ● чат + индивидуальная техподдержка - вы круглосуточно можете получить ответы на ваши вопросы ● проверка ваших заданий и обратная связь ● Никаких вебинаров - только уроки и практика ● Именной сертификат от нашей школы по окончанию курса ✅ Что вы получите за 7 дней? - Установите бесплатную программу Blender - с нашей помощью освоите ее интерфейс и настройки - Изучите ; какие бывают типы графики поймете логику работы - Узнаете все о моделировании и текстурировании - мы поможем вас разобраться - Создадите свою первую крутую профессиональную 3-D иллюстрацию ⛔ НИКАКОЙ ВОДЫ!!! Вы убедитесь; что с 3-D моделированием справится даже новичок! 3-D графика используется практически во всех отраслях: - в разработке компьютерных игр - в создании визуализации интерьера; архитектуры - в графическом дизайне - в создании фильмов и анимации - 3-D печать Оплачивается эта деятельность весьма щедро - получаете 3-4 средние зарплаты; как минимум 💫 Если вы творческая личность и цените свою свободу. Хотите освоить увлекательную и прибыльную профессию; мечтаете раскрыть свой потенциал и в будущем хотите начать достойно зарабатывать… Этот курс отличная возможность для Вас научиться крутой профессии; и возможность осуществить свои мечты! 🎓 Обучение проводит Павел Голубев: ◆ в 3-D графике уже 4-й год ◆ преподавать начал в университете - 3 года преподавал информационные технологии; параллельно обучаясь в аспирантуре ◆ Увлекался фотографией; коллажировал фото ◆ Изучал программы и принял решение остаться в профессии 3-D художника ◆ Писал статьи для журнала Render 👇🏻 Кликайте смело по ссылке и начинайте обучение прямо сейчас! Ваше будущее в ваших руках! Вперед! https://vk.com/app5898182_-192626588#u=1334139&s=680169&force=1&utm_source=faqpromo&utm_medium=posev ⚠ ВАЖНО: на изображениях работы учеников; после прохождения бесплатного курса,https://sun1-94.userapi.com/impg/thFDq4mtxYEDJQ-myQo5DaecdV166rrkWNnDlw/abhPtL6qyLc.jpg?size=2560x2027&quality=96&sign=fa707df4119fc1dd3c4d9ecccedd3e06&c_uniq_tag=N_MGw9xpov9b5vYCUPnjK7SfeNB7i4M411iisWPOeOQ&type=album,1,20,11,2021-12-01,2021-12-01 08:05:00,Wednesday
9,Тревожное настроение. Отражение впечатляет... «Прогулка»  Художник / Стефан Койдл,https://sun1-28.userapi.com/impg/eBMxZgojryy55qT_8ea3dsMszwEZtq2TsCln-w/gaRnsSTGSS8.jpg?size=1464x2030&quality=96&sign=9791fae4e57d4891e03e0c5464a4e503&c_uniq_tag=Jtua2GQb2VceB4j5cpzv1pZbrpKqUUgCwmr2s0Lgzf4&type=album,18,586,87,2021-11-30,2021-11-30 22:30:00,Tuesday
10,Зимние городские пейзажи Ильгиза Гимранова. В его картинах с панельками и разноцветьем окон передано детское; незамутненное восприятие мира; которое видит красоту и радость во всем.,https://sun1-94.userapi.com/impg/TVFTRf8XPQVh2LdsoeAYPwcuF6mkZSPznCD7kA/cWaYXkW1Dwo.jpg?size=2560x1844&quality=96&sign=4b76999a5e8f80732b139380316dce6c&c_uniq_tag=m-wGO9Zxb--bxPs-9FZ1pxo6xX_3aFTWjGWiuzCFjJ4&type=album,18,513,140,2021-11-30,2021-11-30 20:30:00,Tuesday
11,"Айвазовский и тут остался верен себе и написал воду; пусть и в виде кристаллов. ""Зимний пейзаж""; 1876  Художник / Иван Айвазовский",https://sun1-96.userapi.com/impg/HA9fJ7UaM1VcKWzKkfz9dXQu90tS8ov_x_Orcw/l_ZkcdRz8b0.jpg?size=2123x1600&quality=96&sign=0a36895855bb31ea451f17b2934ea152&c_uniq_tag=YNBxwlTw_SKuE_NopQraGQ1eM58E7G0fLRIBg5DtlFw&type=album,13,1447,276,2021-11-30,2021-11-30 18:30:00,Tuesday
12,Персидско-арабские узоры.,https://sun1-86.userapi.com/impg/JgrRqKK_lmhaNlm7o9gpMyBWA_qy8PUfOFDzbA/KNwjJnIVbA8.jpg?size=564x752&quality=96&sign=692e24f9dc53fe247565637f8960a38b&c_uniq_tag=WFFvxUrXzov9kVhF2MAqLseJS7wxCqlgncxz8Xg0NRs&type=album,6,613,174,2021-11-30,2021-11-30 16:30:00,Tuesday
13,Невероятно красивые фотографии кристаллов льда.,https://sun1-87.userapi.com/impg/MUCbN3-l2afjnBIplFu5OpT_mKNKdzaFMnY4gw/0Qb98dxY_TQ.jpg?size=736x981&quality=96&sign=4e2ff9b7052dd2a1d78a675904c8acf6&c_uniq_tag=CvQX37WOWVv5Tmq0ogzt1cjFmwZiCo-C5pN5PqG0ndg&type=album,7,507,132,2021-11-30,2021-11-30 14:30:00,Tuesday
14,Художница / Ирина Камберленд (irinacumberland) Я наблюдала; как океан плавно движется туда-сюда; мерцающий свет танцует на поверхности; крошечные радуги отражаются от песка; убаюкивая. Я решил запечатлеть эту красоту на холсте. В результате появилась картина под названием «Нет войне».,https://sun1-30.userapi.com/impg/4O0bUByDV2uAlwNwEEFZZCLXB4IDKzLz-ExuTw/e5bczVL8SEs.jpg?size=750x938&quality=96&sign=9f79d02e6cfb8636cc2b1ad1211bce1e&c_uniq_tag=T7Je5qAvXWXRzli7SJXQ4Ur8nKDy2Nt2AiQMRX7x9fU&type=album,13,261,58,2021-11-30,2021-11-30 12:30:00,Tuesday
15,Научим рисовать в Photoshop с нуля! Обучение начинается с освоения программы Adobe Photoshop и ее инструментов. К каждому уроку прилагается теоретическая и практическая части. Вы изучите перспективу; свет и тень. Композицию и стилизацию. Поймете; как передавать объем и реалистичность предмета. На середине обучения перейдем к работе с цветом и текстурами; а после выполним качественный рендер дипломного проекта. Бонусом в обучении будут полученные знания по созданию своего дизайна с нуля. [https://vk.com/app5898182_-156791464#u=785921&s=503463&force=1|👉🏻Программа курса; расписание и условия участия👈🏻],https://sun1-54.userapi.com/impg/3scaAvMY4RQBWLKV2W--gWuRcDgNVq7BdSZmfw/YxBy2_jcUSs.jpg?size=750x750&quality=96&sign=2261216984248627c47fb46fdd22d384&c_uniq_tag=-khkNbJleJl61PaTJ5errEmkU9NO_x6AYKd1iLHGdRY&type=album,0,42,22,2021-11-30,2021-11-30 06:40:00,Tuesday
16,В возрасте пятнадцати лет легендарная средневековая королева Элеонора Аквитанская вышла замуж за Людовика VII; наследника французского престола. Она председательствовала в одном из самых веселых дворов в Европе; наполненном трубадурами; поэтами и романтическими приключениями. К сожалению; когда она не могла родить своему мужу сына; их брак был аннулирован; и она вышла замуж за Генриха II; герцога Нормандии и будущего короля Англии. Для Элеоноры годы; проведенные в Англии; не были такими же веселыми; как во Франции; или как для ее мужа Генри и его многочисленных любовниц.  История Элеоноры и Розамунд очаровывала общество девятнадцатого века как неразличимая смесь фактов и апокрифических легенд. В этой работе Каупер изображает версию истории; в которой королева Элеонора проникает в лабиринт замка; который Генрих II построил для своей любовницы Розамунд; намереваясь убить ее соперницу. Королева хватается за нить; которую она использовала; чтобы провести ее через лабиринт; и теперь тянет ее; как паутина; посягающая на более слабую Розамунду. Легенда гласит; что Элеонора отравила свою жертву; Однако на этой картине Каупер решил изобразить королеву; сжимающую кинжал с золотой ручкой; которая отражается так же ярко; как и ее позолоченная парча.  Художник / Фрэнк Кадоган Каупер (1877-1958) «Розамунд и Элеонора»; 1920; холст; масло; 101;6 x 127 см. В частной коллекции.,https://sun1-95.userapi.com/impg/jfSQ1j2Rb7fkEcmqsEnOHBaDw9NHeczegem7UQ/WnE1bJrggHs.jpg?size=1080x1350&quality=96&sign=37c079f49155cd6a72bc3233da377037&c_uniq_tag=naR--WMYWsL_JO8jBnaj9QtUCn5iDGqwJhMSiOfsxik&type=album,22,329,80,2021-11-29,2021-11-29 22:32:00,Monday
17,Из природы можно бесконечно черпать вдохновение. Только посмотрите на эти узоры и окрасы.,https://sun1-89.userapi.com/impg/xJRk1jlcfP-hU-zvUbnnuY3tmo3cHa9ZO-QKZQ/ayu0L-DviZ4.jpg?size=564x846&quality=96&sign=bb0a2816fb4312bdba58763c2206df07&c_uniq_tag=g7YCOGL2S1rwelZEpJBnv8kbSE36TKxYpDq1dauU_JU&type=album,19,1619,672,2021-11-29,2021-11-29 20:30:00,Monday
18,"Такое впечатление что раньше зимы были более снежные. ""Зима. Сосны""  Художник / Алексей Писемский",https://sun1-23.userapi.com/impg/rucp6V8CHusG8kjuWyvtOFiUA22PD0BARRNecg/2aDUEbofrNo.jpg?size=648x960&quality=96&sign=f4abf8428696661caa445a7f886e11ae&c_uniq_tag=AxlKEEdxxWpMEUkd_pdUm9nU9yKCovDgfLjl3l45GSA&type=album,22,1156,115,2021-11-29,2021-11-29 18:30:00,Monday
19,Юлий Клевер был «человек широкой души». Он легко тратил деньги и не желал экономить. Картины продавались легко и в средствах художник не нуждался. Клевер отличался добротой и жизнерадостностью. Многие его ученики с благодарностью вспоминали; что Клевер мог скупить у ученика все имевшиеся на тот момент эскизы – чтобы просто помочь бедному студенту.,https://sun1-98.userapi.com/impg/VmKA8GoIsNymEej5uZF6wCrD8dgR7aAdyadXWQ/uuok5puD25g.jpg?size=2500x1762&quality=96&sign=3e9da4a4b1c87c954449370e6e1d432c&c_uniq_tag=KX02hY9L338Tl6NghrZnIwqcG6j_Rt7FQLiTLZQt9rg&type=album,21,978,241,2021-11-29,2021-11-29 16:30:00,Monday
20,Очаровательная вышивка; которая может обновить ваши старые вещи.,https://sun1-84.userapi.com/impg/IvlLLBtKHRO3tWXJaSdB-F4YM4eJ9XNeHUczMA/wnw7gTk_cbU.jpg?size=736x736&quality=96&sign=1ab7ee348fc6654fefd2321ed242d025&c_uniq_tag=WTeVOibXyDAnoDi4-BrPRxPDv2lPSvoFgW6Ej4iUhIU&type=album,2,373,99,2021-11-29,2021-11-29 14:30:00,Monday
21,Пост от подписчика.  Художник / Иван Малкин «Весеннее настроение» (к/м; 2011),,10,415,22,2021-11-29,2021-11-29 12:35:00,Monday
22,"Художница / Марина Звягинцева ""Держи себя в руках"" Холст; масло; авторский метод - биотипия 160 х 100",https://sun1-95.userapi.com/impg/Ar8WIIJ8L6qH211P2RermNROvietpg2EgcdhsQ/C_I0s73DWWY.jpg?size=960x1280&quality=96&sign=7c67df578a402b9c700ebfedf6687fd0&c_uniq_tag=0oYAdTQtghd5fpAryPUbcfiew9uU6_f_SmzYENsaMt4&type=album,0,171,35,2021-11-29,2021-11-29 10:35:00,Monday
23,Научим рисовать крутую векторную графику — эмоциональных персонажей; иконки; интерьеры и пейзажи. Обучение с нуля. Будет понятно; даже если вы до этого не работали в программе. Пошаговая система и ежедневная проверка домашних работ. Индивидуальные правки под ваш уровень. 👉🏻 [https://vk.com/app6115991_-140653996#ip40886007_25|Узнать подробности обучения],https://sun1-99.userapi.com/impg/OznQMdqPxEkeRrwyEwc2ibWdGjw3aGMWjSFk3A/fbo2moX7WnY.jpg?size=1080x720&quality=96&sign=1b49fc3d00cae9fcf9b72fd0deb52083&c_uniq_tag=ADHhn5KxOYMVIa5c_2Ay1OicXKrRbRf-114aDFXc0bM&type=album,0,11,3,2021-11-29,2021-11-29 07:10:00,Monday
24,Атмосферные городские и сельские пейзажи. Художник / Пьянков Илья,https://sun1-27.userapi.com/impg/gax0jIiq7MxyQAsT6L-g3KOCAKTTU9Ua46WyhA/pz_MgYUVPhg.jpg?size=1280x1117&quality=96&sign=20743bd359fb61a046e8d6d56e202917&c_uniq_tag=DR44HH6ZYzOb09MWtwjs6GMLLh8UNvmqGZvWpspmkyo&type=album,13,1484,327,2021-11-28,2021-11-28 22:25:00,Sunday
25,Когда пришел в гости. Картина «Девушка с дыркой в чулке» Художник / Михаэль Томпсон,https://sun1-19.userapi.com/impg/lcGCXmUi4wGYbcCwQExOpBRIR0Bm_Cc0JhIumA/UBKTqzw87RQ.jpg?size=608x807&quality=96&sign=5c79c76123e7ea20ecb95afe6cb4d67e&c_uniq_tag=E25GrBnbkQGCukCtnaCOfYRnDXv_5o3NQP1jTXu6O3I&type=album,14,809,149,2021-11-28,2021-11-28 18:25:00,Sunday
26,Картины похожие на сон; в которых существует только то; на что ты обратил внимание. Художник / Дин Корнуэлл,https://sun1-26.userapi.com/impg/8lm7jqNn1tLI7Zw7oEBUbC-xMg2Cg-H6HH8VLw/oLVo76nL6zw.jpg?size=960x727&quality=96&sign=0bea08d5a6c704a0b1f870872e8052e0&c_uniq_tag=PF3zGz0pOYYBB5M0ZjhFxk9iB9vschZO8jODeJ04UTw&type=album,20,788,277,2021-11-28,2021-11-28 16:25:00,Sunday
27,Картины; созданные не карандашом. Это искусное тиснение бумаги.  Автор / Саймон Шуберт,https://sun1-14.userapi.com/impg/8o9CQ0Xe1Bv_Nam4-hGwEzJ_UZ-iZ3J5pItRCQ/Au4FvqcVw3A.jpg?size=1440x1027&quality=96&sign=b52183dfe0f80bc43f004d48743c8778&c_uniq_tag=4Fb3o3iyMhv08jYyj2wDRl0i-So_VGJcnxM75wagAvg&type=album,16,648,169,2021-11-28,2021-11-28 14:25:00,Sunday
28,Эти кондитерские мазки великолепны.  Художественные торты кондитерской Kalabasa. Москва; наб. Академика Туполева,https://sun1-29.userapi.com/impg/IMXeoIEqyNl_SrISfe4d90QwO13XUun54fLlDQ/21PSPUV80KI.jpg?size=1000x1248&quality=96&sign=3adb535f00e022650c892362eccecb6d&c_uniq_tag=7P6uMQ7dHYg4lW2kBBYO_JBuTjl9gXXyuTpvsMmuM8Y&type=album,15,663,218,2021-11-28,2021-11-28 12:25:00,Sunday
29,Накануне релиза долгожданного альбома «30» Адель дала интервью Опре Уинфри и спела для своих друзей на фоне Обсерватории Гриффита в Лос-Анджелесе. После долгого периода без концертов певица выступила для «своих». Зрителями стали Джеймс Корден; Лиззо; Селена Гомес; Леонардо ДиКаприо; Дрейк и многие другие. Она исполнила свои хиты; среди которых Hello и Skyfall; а кроме них три композиции из нового альбома. В беседе с Опрой Уинфри Адель рассказала о творчестве; разводе; отношениях с отцом и потере веса. Смотрите «Вечер с Адель» по подписке в [club47393707|Okko]: https://vk.cc/c8kPfA 👈🏻,,1,56,21,2021-11-28,2021-11-28 11:00:00,Sunday
30,«Молодой король Черных островов» (1906) Художник / Максфилд Пэрриш  Эта великолепная картина маслом написана американским иллюстратором и названа «Молодой король Черных островов» по ​​одноименному рассказу.Работа служила фронтисписом к книге Кольера «Арабские ночи VIII»; опубликованной в 1907 году. На нем изображен султан; доведенный до слез; услышав печальную историю молодого короля.,https://sun1-47.userapi.com/impg/0ygH7FvTQafKCqwiUdQd80L7po3thhW8xvzF7w/eRno0ZWNr-8.jpg?size=600x747&quality=96&sign=64806761efcdd112aec518523c23deb7&c_uniq_tag=14swMctHqUlPMljfawWDWmMcd_C15Cfgnhj8NUoaH8E&type=album,5,495,119,2021-11-27,2021-11-27 22:30:00,Saturday
31,Пост от подписчицы.  Художница / Анастасия Лобанова «Первый снег» 40×40;холст;масло. 2021г.,https://sun1-29.userapi.com/impg/gzTB-7MYzL3qLYnQjSIYwFvpYvuYKM3OzHBbHg/6a_-X1jR1WI.jpg?size=1600x1588&quality=96&sign=008c1ff699b6c5cd2027f614363e4f93&c_uniq_tag=egMLORi_2QwW2e-_KUiIW0sx54p9YWofeT7awRTOUMI&type=album,32,720,67,2021-11-27,2021-11-27 18:00:00,Saturday
32,Дома-музеи русских художников. Только посмотрите на наше народное достояние. Названия мест под фото.,https://sun1-24.userapi.com/impg/sF-yqB9rzZpVcJY4ENkub7OTT0pJVxsRzXTRJQ/CUJrKP_gsjQ.jpg?size=1200x880&quality=96&sign=da000084f03a0e2c39a18e6745ac8061&c_uniq_tag=IQwWvflpxqgFkWSp3qDlj65jWVQ2sT4PcwuqZ4oAjmg&type=album,3,289,51,2021-11-27,2021-11-27 16:30:00,Saturday
33,✅Полгода бесплатного обучения профессии коммерческого иллюстратора! Это сон? Нет; это реальность! Skillbox проводит набор на онлайн-курс «Профессия коммерческий иллюстратор»; где платежи за обучение начинаются с седьмого месяца; а расходы за первые 6 месяцев обучения образовательная платформа берет на себя. В это время вы посещаете лекции и воркшопы; прокачиваете навыки; находите себе работу и начинаете зарабатывать. ⚡На курс действует специальное предложение «Чёрная пятница» — скидки до 60%. Покупайте знания; а не вещи. Максимальные скидки и подарки от партнёров. Профессия иллюстратора в наше время достаточно востребована и высокооплачиваема. Грамотные специалисты требуются в дизайн-студиях; издательствах; мультипликационных студиях и в геймдизайне. Кроме того; коммерческие иллюстраторы могут работать как в офисе; так и на фрилансе из любой точки мира. На сегодня на рынке не хватает грамотных специалистов: - 546 компаний ищут иллюстраторов; - 80 000 рублей - зарплата практикующего специалиста (по данным сайта HeadHunter). На курсе вы научитесь профессионально создавать коммерческие иллюстрации; персонажей и анимацию. Выберете специализацию и подготовите портфолио. Узнаете; как продвигать личный бренд и сделать иллюстрацию основным источником дохода. Переходите по ссылке; если хотите узнать подробности о курсе или получить консультацию специалиста:👇🏻 https://skillbox.ru/course/profession-commercial-illustrator-2/?utm_source=vk&utm_medium=groups&utm_campaign=1022_profession-commercial-illustrator-2_vk_groups_post_course_ru_design_sabitov_40886007&utm_content=ad_1&utm_term=academicart_sabitov14,https://sun1-92.userapi.com/impg/058xJzc2XII9PdTiKD0P62CqYkhglNfKmW7wEg/p0IXnt9L01E.jpg?size=1081x1083&quality=96&sign=e1fef11b678999ce2850b1dcb0bb2689&c_uniq_tag=k0eRQol8vDR3vNqAxPUQoVxmWEfocRwoXN2vBvuPI-w&type=album,0,4,1,2021-11-27,2021-11-27 15:20:00,Saturday
34,Талантливые ученики - творения талантливых педагогов. Светлана Лунькина и её педагог Екатерина Максимова. Воспитанная в лучших традициях академической школы Екатерина Максимова; обладала лёгким; упругим прыжком; стремительно-чётким вращением; природной грацией; изящной мягкостью линий. Её танец был отмечен элегантностью; технической виртуозностью; филигранно отточенными деталями. Вместе с мужем; танцовщиком В. Васильевым; составляла один из выдающихся балетных дуэтов XX века.,https://sun1-92.userapi.com/impg/E3_8LOhkTDNjliqTNzLgc08EyHwFG_Hp6Pd_-A/Ix2MYn6DNrU.jpg?size=1000x755&quality=96&sign=ba55d75cf13a88bbb3f863dd30c2c987&c_uniq_tag=d5Opc4EJ6vJHrUIpvR9pdoU3ZQsJ213nrI9Q5qw8LwE&type=album,10,520,76,2021-11-27,2021-11-27 14:30:00,Saturday
35,Винтажная подвеска Lalique 1900г.,https://sun1-15.userapi.com/impg/SBdQNVFCnczcwkqsCCL7ZtEHShSdotr1P77QiA/LgkCwBW4Mb8.jpg?size=552x648&quality=96&sign=53ebbb618eaef102b5a56e6ea94900fc&c_uniq_tag=Emi6Y7_pneFgsZiMsObBUr6joosuJpWC__cL4rpNtxk&type=album,10,1554,254,2021-11-27,2021-11-27 12:30:00,Saturday
36,Феликс Валлотон был французским художником и гравером швейцарского происхождения; известным своим точным использованием линий и строгими формами.,https://sun1-21.userapi.com/impg/9C7NKoTYkEk03twIS-dNlcrBHDjAwMdbo4SlGQ/GPo5s_Nw7AI.jpg?size=1132x937&quality=96&sign=6f655a631e225527625a41d04810d3e8&c_uniq_tag=vQ0CgA4PaD8hxt-btTtUFnpsgpc9B0Iu2abljMB1oek&type=album,8,847,164,2021-11-26,2021-11-26 22:30:00,Friday
37,Подборка интерьерных этюдов Кенни Харриса из Венеции.,https://sun1-89.userapi.com/impg/Yup_Tzs7EEvJonCRN9VJby9UG592wyXoSqhLeQ/IWAMBlIr1dk.jpg?size=1080x1080&quality=96&sign=1ae204ed821408e1b433dd96be445f94&c_uniq_tag=jpAZ53g_u1T-DFtl-PbWOX9FJntfkkranbuLWurtXQY&type=album,2,512,101,2021-11-26,2021-11-26 20:25:00,Friday
38,Что посмотреть вечером? «Его звали Роберт» (1967) Режиссер: Илья Ольшвангер Фантастическая комедия о советском андроиде; который получил возможность выйти за стены института. Конечно выполнение фильма устаревшее; но не потерявшее очарования. Сценарий отличный и по сути и по форме. Реплики можно разбирать на цитаты. Если бы нашелся продюсер; который бы решился переснять этот фильм; вышло бы гениальное кино.,https://sun1-94.userapi.com/impg/lvnXxmViPd1ZIPHcmBSOHq2RLVVwT-6tST3drA/F9PPz2hPTV0.jpg?size=1024x576&quality=96&sign=2a28339ab16ecc2607b15705529ee53c&c_uniq_tag=1I_mP7YzqnISFcZBFBlz_HuPbbeykfM7ABOGb1XsDFs&type=album,7,81,74,2021-11-26,2021-11-26 18:00:00,Friday
39,Девушки в белых одеждах американского художника Уильяма Уитакера.,https://sun1-17.userapi.com/impg/toF3iAh16PUZAtQzFZWMIV-aHnUMX-KgH2vE_g/AiTtnBPCJ2M.jpg?size=729x1008&quality=96&sign=830dbd14057d036197d717df6947ed6a&c_uniq_tag=eMWURVOL7KA52-v_KRSB2Z97zgzDMBajGPy7pBEotaQ&type=album,0,394,58,2021-11-26,2021-11-26 16:05:00,Friday
40,"""Родные места"" (х/м; 30х40; 2011)",,7,785,48,2021-11-26,2021-11-26 14:30:00,Friday
41,Уверены; что художник должен быть голодным? Может; художник просто не знает про Черную пятницу в Яндекс.Лавке!  С 25 до 28 ноября там будут скидки до 50% и выше на многие продукты. Закажите необходимое; и курьер доставит заказ быстрее быстрого.,https://sun1-98.userapi.com/impg/AmEsWSKlTt--ZnArwWah4IShzFY36O9iKhRKqg/apcgi4tDrVA.jpg?size=591x1094&quality=96&sign=62490b00d2db69c52bab5eef8c40ba63&c_uniq_tag=OfMFGoNx0tDPwLdp55xLUPhJDC7KigSFxJDA1-YLknE&type=album,0,4,8,2021-11-26,2021-11-26 13:30:00,Friday
42,Пост от подписчицы. Художница / Юлия Бойко Зарисовки черной гелевой ручкой. Формат А4.,https://sun1-22.userapi.com/impg/cggS5LsRCyPgUGF1sByla8eLhliDkPIzqEqxvg/0a5POTy2pyU.jpg?size=1082x1514&quality=96&sign=108143afb766bb58c37f5b34da687e59&c_uniq_tag=bWDPYHrTB0UfIXxykWqdJtmNBRNbV9kcGvLsQkqunCQ&type=album,8,388,36,2021-11-26,2021-11-26 12:30:00,Friday
43,"Художница / Марина Звягинцева  ""Взрыв местного масштаба"" Холст; масло; авторский метод - биотипия 100 х 100",https://sun1-98.userapi.com/impg/1STE0ZEUfZ9k1SJULzOahdgCPsLPRYRxn_0wBg/ik7Kstu-Y9Y.jpg?size=1080x1920&quality=96&sign=2a46731a5ee75808953ace4fc9b05d80&c_uniq_tag=Q9ZA0Pwh7Qbb9Rs4H_wg5EP62kUg053hFnVTjJMPwiI&type=album,6,303,42,2021-11-26,2021-11-26 10:35:00,Friday
44,Когда толкнули пока ты рисовал. Картина «Дух» Художник / Ясухиро Ониши,https://sun1-30.userapi.com/impg/TIyGTPGdksETd9ie0c5rHx1VkEeFgOO2AJHLmA/0lo1MrgRxpE.jpg?size=800x1042&quality=96&sign=524db629171f0bff649f096b4cc0a575&c_uniq_tag=xRM3s1wFgtiYX6c0NzcMLNMVvvh7IV2EMLLFbhGdOJc&type=album,19,1208,213,2021-11-25,2021-11-25 22:00:00,Thursday
45,Многомерность времени на полотнах Давида Амбарцумяна из Германии. В его искусстве сочетаются абстрактные и сюрреалистические элементы; чтобы выразить восхищение природой во всем ее разнообразии и непредсказуемости.,https://sun1-15.userapi.com/impg/aU2u2qT0Xegho4RDtwe-0D-m_LtzYbSm-oF9iQ/LKxx9Yil2Hs.jpg?size=995x1200&quality=96&sign=7e9063725f022890ca1b68b197416813&c_uniq_tag=2ghSwSxapcET-4b-Q9lqTv7Dp5-_Wjh7W_gCmTDjeXE&type=album,5,406,93,2021-11-25,2021-11-25 20:05:00,Thursday
46,Юсаку Камекура японский дизайнер создал известный плакат 1983г. о трагедии в Хиросиме. Он добился прекрасного шокирующего изображения разноцветных пылающих бабочек; падающих на землю; олицетворяющих хрупкость жизни и то; что страдания; причиненные бомбой; достигли всех аспектов живой природы.  Камекура был недоволен своим дизайном до его третьего цветного принта; на котором он обрезал границы; убрав половину одной из бабочек; чтобы показать невычисленные повреждения; нанесенные бомбой.,https://sun1-87.userapi.com/impg/UE6yg-iJH0O4kl10k2RDZ5Rwew3euLLx3-i56Q/UNdp7JDyK0g.jpg?size=1588x1588&quality=96&sign=aa4f224910a98324e37be8b75fb420e5&c_uniq_tag=G0CMSOFMJ5aSmBnDnIyXJBPnT9mLAqf2xp0OB644qY0&type=album,16,567,130,2021-11-25,2021-11-25 18:05:00,Thursday
