,text,link,comments,likes,reposts,date,time,day_week
252,Научим рисовать крутую векторную графику — эмоциональных персонажей; иконки; интерьеры и пейзажи. Обучение с нуля. Будет понятно; даже если вы до этого не работали в программе. Пошаговая система и ежедневная проверка домашних работ. Индивидуальные правки под ваш уровень. 👉🏻 [https://vk.com/app6115991_-140653996#ip40886007_20|Узнать подробности обучения],https://sun1-47.userapi.com/impg/A9n7wDGIDI8jSCWoC3iV_Qbx-_mecQwlhE4V6w/QN0BBnQxKiA.jpg?size=1080x1080&quality=96&sign=d9ef74db71fb4f3666b5c1bf3f6e1c7b&c_uniq_tag=RFGDT02J7IpCfDJnJ-KEgoIymtP99pJjDZQOXInF2Dk&type=album,0,15,6,2021-10-26,2021-10-26 18:10:00,Tuesday
253,Пост от подписчицы.  Художница / Виктория Бондаренко. «Весна идёт»,https://sun1-96.userapi.com/impg/6A2yICnsj7ps5BpExMa9upxED3c7qduQ1Xi2fA/FkRvqNt0m4I.jpg?size=720x509&quality=96&sign=7cbfa6adf74964c799b0edc3ab26c740&c_uniq_tag=sEPyo9g26qALaV_cm2t6YFY2dtmR9rKW8Gj3NFro9h8&type=album,20,429,24,2021-10-26,2021-10-26 16:23:00,Tuesday
254,Пост от подписчицы.  Художница / Виктория Харченко «Что такое осень? Для меня это яркость красок и шуршание листвы под ногами; кристально чистый воздух и грустный серый; угрюмый предвестник зимы - моросящий дождь. Осень то обнадеживает и вдохновляет; то печалит и томит. Всегда разная и всегда по-своему красивая пора.»,https://sun1-84.userapi.com/impg/-Q9pRxDKV0al9TTPKg1XErxOTiTXgdV_iSrSFg/LfanD4WF0xg.jpg?size=1500x1500&quality=96&sign=7f8b90639f74ba6b9cea443a9cf21ef1&c_uniq_tag=I0ewd4eG11407PzUCLRLW7ozrwRPu8OHd7-O9A96__k&type=album,4,150,26,2021-10-26,2021-10-26 14:23:00,Tuesday
255,Русские крестьянские девушки в работах Ф. В. Сычкова. Художник родился в бедной деревенской семье и стремился всеми силами овладеть ремеслом; чтобы заработать на жизнь. Он создал более 600 картин.,https://sun1-90.userapi.com/impg/uetd4Goe_FGlDdctUdTrB-rxlKbIvzf6hv4yZQ/4O5qk8e8gHE.jpg?size=671x900&quality=96&sign=62010728437c4a0543e4de28687cc457&c_uniq_tag=3thPccRLuTnqfC8qiZM7ramh-fklBNV7xpSm7Vq-iFQ&type=album,26,834,140,2021-10-26,2021-10-26 12:31:00,Tuesday
256,Анатомические зарисовки американского художника Яньцзюнь Ченг.,https://sun1-91.userapi.com/impg/OKVeHoVUH-G_6zvp_aUjCbP884-RzFOdsaGheg/hTm_wq2ZZCY.jpg?size=1500x1500&quality=96&sign=139051d2a14874ab3978823ada55de1b&c_uniq_tag=ht0LH3XBL3X0bGGZsxHUy9AJzVHG1caGJuYmWFTaLLM&type=album,5,497,107,2021-10-26,2021-10-26 12:23:00,Tuesday
257,Пост от подписчицы.  Художница / Тамара Лучшева Информационное общество Присылайте в комментарии свои последние наброски🎨,https://sun1-21.userapi.com/impg/WdSUcX_IqQeG2uWGx5dvPXYqtHU_kcf9Dp8Nxw/scDJRBg8HVk.jpg?size=1445x1920&quality=96&sign=5864fdfdd120d6e40c98348ec5719491&c_uniq_tag=XLPXzCgyMX9JVBkQJUr-shJNqm3b9Ws75iNLPirtzTs&type=album,30,324,58,2021-10-26,2021-10-26 10:23:00,Tuesday
258,Пост от подписчика.  Художник / Николай Верхошанский Владения ЯГИ. Х.м. 60х70см.,https://sun1-94.userapi.com/impg/eSE620ZFi7cMiCleUeXJ8v8SroWXnHub4SsFcA/7MRRbVz-7pk.jpg?size=2497x2160&quality=96&sign=a57caf8c72ec3c7c5b137a141e0d91f6&c_uniq_tag=-PsFvXR_7-en1mqXqvVmW1EGHJ7dCpc_-IB-nL3HYYw&type=album,12,514,65,2021-10-25,2021-10-25 22:23:00,Monday
259,Пост от подписчицы.  Художница / Просёлкова Екатерина,https://sun1-22.userapi.com/impg/h_NkP8l8_IuxZQtMYnhZ6SvENF0FElvRoEjOEQ/uETJvJvlchw.jpg?size=2560x2263&quality=95&sign=0fd9181b727a4fe68ce12b5e6745f78a&c_uniq_tag=Oe_eMqFndw1NwBtmN1WgbwqLjSj70dQ6WN3Z-O5iFr4&type=album,29,783,158,2021-10-25,2021-10-25 20:23:00,Monday
260,Американский художник Скотт Бардик. «В детстве я проводил дни в больницах и помню; как моя мама показывала мне; как из простых форм; таких как треугольники; квадраты и круги; рисовать самолеты; вертолеты и рыб. Будучи в гипсе и на костылях; у меня было много времени чтобы выработать терпение и усидчивость в рисовании»,https://sun1-17.userapi.com/impg/UcAT_9nHCJ7VH4FWQup_Qirl3C-5ch7tsl2Qkw/QpwQ02-VsU0.jpg?size=1604x2160&quality=96&sign=6a08050b4924c6077d8e1bc49a1d6987&c_uniq_tag=EUKhi2qUru9UwB6PDU1JMrnvFSHaS44LZa6f4YXLm4E&type=album,2,257,39,2021-10-25,2021-10-25 18:31:00,Monday
261,,,4,63,10,2021-10-25,2021-10-25 16:31:55,Monday
